preset,benchmark,condition,n,err,acc,strict_prompt,loose_prompt,strict_inst,loose_inst,base_acc,delta
qwen3.5-9b-it,truthfulqa,baseline,817,0,72.70501835985313,,,,,72.70501835985313,0.0
qwen3.5-9b-it,humaneval,military,164,0,70.73170731707317,,,,,4.878048780487805,65.85365853658537
qwen3.5-9b-it,humaneval,dao,164,0,77.4390243902439,,,,,4.878048780487805,72.5609756097561
qwen3.5-9b-it,humaneval,legal,164,0,78.65853658536585,,,,,4.878048780487805,73.78048780487805
qwen3.5-9b-it,truthfulqa,legal,817,0,74.90820073439413,,,,,72.70501835985313,2.203182374541001
qwen3.5-9b-it,truthfulqa,dao,817,0,73.68421052631578,,,,,72.70501835985313,0.9791921664626528
qwen3.5-9b-it,humaneval,confucian,164,0,81.70731707317073,,,,,4.878048780487805,76.82926829268293
qwen3.5-9b-it,humaneval,logician,164,0,78.65853658536585,,,,,4.878048780487805,73.78048780487805
qwen3.5-9b-it,truthfulqa,military,817,0,72.09302325581395,,,,,72.70501835985313,-0.6119951040391811
qwen3.5-9b-it,truthfulqa,confucian,817,0,71.97062423500611,,,,,72.70501835985313,-0.7343941248470145
qwen3.5-9b-it,truthfulqa,logician,817,0,70.50183598531213,,,,,72.70501835985313,-2.203182374541001
